T',Policy,Time [s],Unique Valid
128,Full,44.53,9.00 ± 2.77
16,Interval-1,6.98,13.20 ± 3.24
16,Interval-2,6.97,10.65 ± 4.44
16,Interval-3,6.98,8.10 ± 2.15
16,Interval-4,6.97,6.00 ± 2.20
16,Interval-5,6.75,5.35 ± 2.16
16,Top-V,6.75,8.40 ± 2.68
16,Top-dV,6.97,12.60 ± 2.58
16,Uniform,6.74,10.85 ± 3.24
16,VISTA,6.98,14.15 ± 3.80
32,Interval-1,12.29,12.60 ± 4.04
32,Interval-2,12.30,9.60 ± 4.58
32,Interval-3,12.28,6.80 ± 3.24
32,Interval-4,12.28,6.00 ± 2.10
32,Interval-5,12.06,6.10 ± 2.47
32,Top-V,12.06,8.55 ± 2.95
32,Top-dV,12.29,11.25 ± 3.49
32,Uniform,12.06,11.80 ± 2.82
32,VISTA,12.29,12.00 ± 3.32
