sample_id,prompt_idx,run_idx,tag,trace_path,text_path,abc_path,seconds,unit_seed
0,0,0,p0_r0_allstep,reward_trace_p0_r0_allstep.jsonl,text_samples_p0_r0_allstep.jsonl,abc_ssdlm_gen_p0_r0_allstep.jsonl,204.59714630899998,42000126
1,1,0,p1_r0_allstep,reward_trace_p1_r0_allstep.jsonl,text_samples_p1_r0_allstep.jsonl,abc_ssdlm_gen_p1_r0_allstep.jsonl,203.76777032099926,42001135
2,2,0,p2_r0_allstep,reward_trace_p2_r0_allstep.jsonl,text_samples_p2_r0_allstep.jsonl,abc_ssdlm_gen_p2_r0_allstep.jsonl,204.51135157299996,42002144
3,3,0,p3_r0_allstep,reward_trace_p3_r0_allstep.jsonl,text_samples_p3_r0_allstep.jsonl,abc_ssdlm_gen_p3_r0_allstep.jsonl,204.37502610800038,42003153
4,4,0,p4_r0_allstep,reward_trace_p4_r0_allstep.jsonl,text_samples_p4_r0_allstep.jsonl,abc_ssdlm_gen_p4_r0_allstep.jsonl,205.57143961600013,42004162
5,5,0,p5_r0_allstep,reward_trace_p5_r0_allstep.jsonl,text_samples_p5_r0_allstep.jsonl,abc_ssdlm_gen_p5_r0_allstep.jsonl,203.79385846399964,42005171
6,6,0,p6_r0_allstep,reward_trace_p6_r0_allstep.jsonl,text_samples_p6_r0_allstep.jsonl,abc_ssdlm_gen_p6_r0_allstep.jsonl,204.63110319800035,42006180
7,7,0,p7_r0_allstep,reward_trace_p7_r0_allstep.jsonl,text_samples_p7_r0_allstep.jsonl,abc_ssdlm_gen_p7_r0_allstep.jsonl,203.99793208899973,42007189
8,8,0,p8_r0_allstep,reward_trace_p8_r0_allstep.jsonl,text_samples_p8_r0_allstep.jsonl,abc_ssdlm_gen_p8_r0_allstep.jsonl,204.00754447500003,42008198
9,9,0,p9_r0_allstep,reward_trace_p9_r0_allstep.jsonl,text_samples_p9_r0_allstep.jsonl,abc_ssdlm_gen_p9_r0_allstep.jsonl,205.46491525999954,42009207
10,10,0,p10_r0_allstep,reward_trace_p10_r0_allstep.jsonl,text_samples_p10_r0_allstep.jsonl,abc_ssdlm_gen_p10_r0_allstep.jsonl,203.93358013500074,42010216
11,11,0,p11_r0_allstep,reward_trace_p11_r0_allstep.jsonl,text_samples_p11_r0_allstep.jsonl,abc_ssdlm_gen_p11_r0_allstep.jsonl,204.2965564900005,42011225
12,12,0,p12_r0_allstep,reward_trace_p12_r0_allstep.jsonl,text_samples_p12_r0_allstep.jsonl,abc_ssdlm_gen_p12_r0_allstep.jsonl,204.76362440699995,42012234
13,13,0,p13_r0_allstep,reward_trace_p13_r0_allstep.jsonl,text_samples_p13_r0_allstep.jsonl,abc_ssdlm_gen_p13_r0_allstep.jsonl,203.4557921880005,42013243
14,14,0,p14_r0_allstep,reward_trace_p14_r0_allstep.jsonl,text_samples_p14_r0_allstep.jsonl,abc_ssdlm_gen_p14_r0_allstep.jsonl,203.23114086900023,42014252
15,0,1,p0_r1_allstep,reward_trace_p0_r1_allstep.jsonl,text_samples_p0_r1_allstep.jsonl,abc_ssdlm_gen_p0_r1_allstep.jsonl,204.64793329099848,42065663
16,1,1,p1_r1_allstep,reward_trace_p1_r1_allstep.jsonl,text_samples_p1_r1_allstep.jsonl,abc_ssdlm_gen_p1_r1_allstep.jsonl,203.606601898,42066672
17,2,1,p2_r1_allstep,reward_trace_p2_r1_allstep.jsonl,text_samples_p2_r1_allstep.jsonl,abc_ssdlm_gen_p2_r1_allstep.jsonl,204.38361577799878,42067681
18,3,1,p3_r1_allstep,reward_trace_p3_r1_allstep.jsonl,text_samples_p3_r1_allstep.jsonl,abc_ssdlm_gen_p3_r1_allstep.jsonl,204.9317449980008,42068690
19,4,1,p4_r1_allstep,reward_trace_p4_r1_allstep.jsonl,text_samples_p4_r1_allstep.jsonl,abc_ssdlm_gen_p4_r1_allstep.jsonl,204.0217311640008,42069699
20,5,1,p5_r1_allstep,reward_trace_p5_r1_allstep.jsonl,text_samples_p5_r1_allstep.jsonl,abc_ssdlm_gen_p5_r1_allstep.jsonl,203.79174513100043,42070708
21,6,1,p6_r1_allstep,reward_trace_p6_r1_allstep.jsonl,text_samples_p6_r1_allstep.jsonl,abc_ssdlm_gen_p6_r1_allstep.jsonl,204.1589916819994,42071717
22,7,1,p7_r1_allstep,reward_trace_p7_r1_allstep.jsonl,text_samples_p7_r1_allstep.jsonl,abc_ssdlm_gen_p7_r1_allstep.jsonl,203.7151019310004,42072726
23,8,1,p8_r1_allstep,reward_trace_p8_r1_allstep.jsonl,text_samples_p8_r1_allstep.jsonl,abc_ssdlm_gen_p8_r1_allstep.jsonl,203.52562411299914,42073735
24,9,1,p9_r1_allstep,reward_trace_p9_r1_allstep.jsonl,text_samples_p9_r1_allstep.jsonl,abc_ssdlm_gen_p9_r1_allstep.jsonl,204.44289029299944,42074744
25,10,1,p10_r1_allstep,reward_trace_p10_r1_allstep.jsonl,text_samples_p10_r1_allstep.jsonl,abc_ssdlm_gen_p10_r1_allstep.jsonl,203.30905926500054,42075753
26,11,1,p11_r1_allstep,reward_trace_p11_r1_allstep.jsonl,text_samples_p11_r1_allstep.jsonl,abc_ssdlm_gen_p11_r1_allstep.jsonl,204.80219376200148,42076762
27,12,1,p12_r1_allstep,reward_trace_p12_r1_allstep.jsonl,text_samples_p12_r1_allstep.jsonl,abc_ssdlm_gen_p12_r1_allstep.jsonl,204.09519000699947,42077771
28,13,1,p13_r1_allstep,reward_trace_p13_r1_allstep.jsonl,text_samples_p13_r1_allstep.jsonl,abc_ssdlm_gen_p13_r1_allstep.jsonl,203.38227363199985,42078780
29,14,1,p14_r1_allstep,reward_trace_p14_r1_allstep.jsonl,text_samples_p14_r1_allstep.jsonl,abc_ssdlm_gen_p14_r1_allstep.jsonl,205.6760602180002,42079789
